Generated by Fabric Compiler ( version 2022.1 <build 99559> ) at Mon Aug  7 10:04:27 2023
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N252)  : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.norm_cmd_l_act)   : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.mcdq_reg_fifo2.fifo_read)       : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.rd_en)     : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_training_ctrl.N18)      : 2
  CLK(rgmii_clk_0), C(~nt_rst_board), CE(u_udp.u_udp_tx.N933)  : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N1792)     : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N750)      : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.ddrphy_init.N285)   : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.rdcal_state_2)      : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.wrlvl_ck_dly_done)  : 3
  CLK(I_ipsxb_ddr_top.pll_clkin), CP(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95)        : 4
      CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95)     : 3
      CLK(I_ipsxb_ddr_top.pll_clkin), P(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95)     : 1
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N418)  : 4
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[0].mcdq_tfaw.N19)   : 4
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[1].mcdq_tfaw.N19)   : 4
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[2].mcdq_tfaw.N19)   : 4
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.state_0)    : 4
  CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N466)     : 4
  CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N466)     : 4
  CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N466)     : 4
  CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N466)     : 4
  CLK(rgmii_clk_0), C(~nt_rst_board), CE(u_udp.u_udp_rx.N648)  : 4
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.A_ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.full)      : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.B_ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.full)      : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.fifo_empty_a)    : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_buf.fifo_empty_b)    : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.full)       : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.ipsxb_distributed_fifo.u_ipsxb_distributed_fifo_distributed_fifo_v1_0.u_ipsxb_distributed_fifo_ctr.rempty)      : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N359)     : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N359)     : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N359)     : 5
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N359)     : 5
  CLK(rgmii_clk_0), C(~nt_rst_board), CE(u_udp.u_udp_rx.N579)  : 5
  CLK(rgmii_clk_0), C(~nt_rst_board), CE(u_udp.u_udp_tx.N1080)       : 5
  CLK(rgmii_clk_0), C(~nt_rst_board), CE(u_udp.u_udp_tx.N890)  : 5
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N371)       : 6
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N371)    : 5
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N371)    : 1
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_rdatapath.mcdq_prefetch_fifo.empty)   : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(~I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_rdatapath.mcdq_prefetch_fifo.full)    : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N449)     : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.gate_check)    : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N449)     : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.gate_check)    : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N449)     : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.gate_check)    : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N139)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N327)  : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N449)     : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.gate_check)    : 6
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N458)  : 7
  CLK(rgmii_clk_0), C(~nt_rst_board), CE(u_udp.u_udp_tx.N15)   : 7
  CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.N240)    : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.mcdq_dcd_rowaddr.N28)    : 8
  CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N745)      : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N136)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N377)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N386)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N409)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_wrlvl.N439)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N607)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.dqsi_rdel_cal.N610)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N136)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N377)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N386)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_wrlvl.N439)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N607)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.dqsi_rdel_cal.N610)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N136)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N377)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N386)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_wrlvl.N439)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N607)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.dqsi_rdel_cal.N610)  : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N136)     : 8
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_wrlvl.N377)     : 8
